brand,model,condition,transmission,body_type,fuel_type,price,mileage_km,engine_cc,age,district,has_trim
22,Raize,0,0,4,2,13950000,0,1200,1,4,1
22,Belta,3,0,4,4,6350000,177000,1000,17,4,1
22,Raize,0,0,4,2,13785000,0,1200,1,12,1
1,318i,3,3,5,4,23900000,39500,1500,8,4,1
22,Land Cruiser Prado,3,0,4,4,33500000,88000,2700,12,6,0
15,Wingroad,3,1,6,4,3080000,225000,1490,27,10,0
22,Vitz,3,0,2,4,7280000,84850,990,10,4,1
12,C200,3,0,5,4,29285000,14000,1500,6,6,1
12,GLB,0,0,4,4,36500000,97,1300,1,4,1
5,WR-V,0,0,4,4,16200000,0,1496,2,6,0
22,Yaris,2,0,2,4,9300000,0,996,3,10,0
18,5008,3,3,2,4,20500000,33000,1200,7,4,1
15,Roox,2,0,6,4,8650000,12500,650,3,6,1
5,Vezel,0,0,4,2,19890000,0,1500,1,4,1
20,Grand Vitara,3,0,2,4,9000000,167000,2000,14,4,0
22,Passo,3,0,2,4,4200000,100000,1000,22,5,0
20,Wagon R,3,0,2,2,6800000,62800,658,8,6,1
22,Raize,2,0,2,4,12950000,20000,1200,3,4,1
6,Venue,0,0,2,4,12390000,0,1000,1,4,1
12,C200,1,3,5,2,33000000,3000,1500,2,4,1
12,C200,2,0,5,4,37500000,4000,1500,3,4,1
22,Premio,3,0,5,4,12950000,200000,1500,11,4,1
22,Harrier,2,0,4,4,38500000,27900,2000,2,4,1
22,Axio,3,0,5,2,9500000,132000,1499,12,4,1
22,Vitz,3,0,2,4,8500000,47000,990,8,4,1
16,Redi Go,3,1,2,4,3500000,97904,800,9,2,0
22,Urban Cruiser,0,0,4,4,10990000,0,1000,1,4,1
12,GLB,0,0,4,4,45000000,0,1300,1,4,1
1,X1,0,3,4,4,32500000,0,1500,1,4,1
3,Mira,0,0,2,4,6650000,1000,660,2,4,1
12,E300,3,3,1,4,32500000,33000,2000,9,4,1
12,GLB,0,0,4,4,45000000,0,1300,1,4,1
8,Range Rover,3,3,4,4,68500000,35000,2000,7,4,1
0,Q3,3,3,5,4,18500000,83000,1500,7,4,1
12,GLE 300D,3,3,4,0,42000000,60000,2000,7,4,1
22,Vitz,3,0,4,4,8800000,83700,1300,7,12,0
14,Montero,3,0,6,4,12500000,198230,3500,23,6,1
22,CHR,3,0,4,4,13350000,98466,1200,9,4,1
1,X6 M,3,3,4,0,52000000,57000,4000,9,4,1
5,Vezel,3,0,4,2,11150000,93000,1490,9,6,1
22,Yaris Cross,2,0,4,2,16350000,1785,1500,3,4,1
8,Discovery,3,3,4,0,36500000,70000,2000,7,4,1
0,A3,1,0,2,4,16000000,9000,1000,2,4,1
22,Roomy,0,0,4,4,11000000,0,1000,1,4,0
14,Eclipse Cross,3,3,4,4,15100000,52500,1500,7,5,0
4,Focus,3,0,5,4,8900000,103000,1600,11,4,0
5,Freed,3,0,3,2,9900000,189000,1500,11,4,0
5,Fit,3,0,2,4,7150000,48000,1300,13,4,1
12,Other Model,3,0,5,2,17990000,70000,2000,11,4,1
5,Vezel,2,0,4,2,17800000,15000,1500,3,4,1
22,Aqua,3,0,2,2,8790000,105000,1500,11,4,1
5,Vezel,0,0,4,2,19850000,0,1500,1,4,1
15,X-Trail,0,0,4,2,26000000,0,1500,2,4,1
1,X2,3,3,4,4,26000000,45000,1500,7,4,1
15,X-Trail,0,0,4,2,28500000,0,1500,1,4,1
22,Hilux,0,0,4,0,28950000,0,2755,0,10,1
7,Seltos,0,0,6,4,19990000,0,1500,0,4,1
5,N-WGN,3,0,2,4,6500000,130000,660,11,4,0
20,Spacia,3,0,2,2,6300000,72000,650,10,4,1
22,Other Model,2,0,3,2,29800000,6000,1800,1,4,1
20,Spacia,0,0,6,4,10500000,0,660,1,4,1
14,Outlander,3,0,4,2,12190000,147000,2000,11,4,1
22,Hilux,0,0,4,0,28750000,0,2800,0,4,1
15,Magnite,0,0,2,4,10190000,0,999,0,4,1
22,Land Cruiser Prado,3,0,4,4,37500000,190000,2755,10,4,0
22,Yaris,0,0,2,4,10590000,0,1000,1,4,1
6,Accent,3,0,2,4,3285000,175000,1000,25,4,0
22,Aqua,3,0,2,4,8450000,97400,1500,11,4,0
0,A3,2,0,5,4,20950000,13000,1000,3,4,1
20,Wagon R,0,0,2,2,8795000,50,650,1,19,1
12,GLB,2,0,4,4,39500000,2000,1400,1,4,1
21,Indica,3,1,2,4,1820000,154936,1405,22,9,0
22,Land Cruiser Sahara,3,0,4,0,53000000,123000,4600,13,4,0
20,Alto,3,1,2,4,4200000,96530,796,11,8,1
17,Viva Elite,3,0,2,4,4685000,105000,1000,15,4,0
22,Urban Cruiser,0,0,2,2,16900000,20,1500,1,4,1
20,Wagon R,3,0,2,2,6885000,82143,650,8,4,1
22,Allion,3,3,5,4,9500000,141000,1500,16,5,0
22,Hilux,0,3,4,0,28900000,0,2800,0,4,1
22,Yaris Ativ,0,0,5,2,18300000,0,1500,1,4,1
23,T-Cross,3,0,4,4,16850000,6800,1000,1,4,1
22,Hilux,0,0,4,0,28000000,0,2800,1,6,1
22,Hilux,0,0,4,0,30000000,0,2800,0,4,1
20,Celerio,3,0,2,4,5550000,85329,1000,10,4,0
7,Other Model,3,0,4,4,12100000,300,1000,1,4,1
20,Celerio,3,0,2,4,5450000,79000,1000,11,4,0
20,Wagon R,2,0,2,2,8290000,11500,650,2,12,1
20,Alto,3,1,2,4,3690000,93000,800,11,12,0
22,Roomy,2,0,3,4,9375000,15400,1000,2,4,1
20,Alto,3,0,2,4,5600000,95000,650,9,4,0
22,Land Cruiser Sahara,3,3,4,0,49500000,165000,4465,15,6,1
22,Axio,3,0,5,2,8250000,100000,1500,12,4,1
5,Vezel,0,0,4,2,18900000,0,1490,1,4,1
22,Raize,2,3,4,4,12895000,19000,1200,2,4,1
20,XBee,2,0,2,2,9700000,5000,1000,3,4,0
15,Aura,2,0,2,2,13775000,13600,1200,2,4,1
3,Rocky,3,0,2,4,11700000,45000,1200,4,4,0
1,430i,3,0,0,4,33500000,54000,2000,9,4,1
4,Kuga,3,0,4,4,11800000,134000,1500,11,4,1
5,Vezel,0,0,4,4,18200000,0,1490,1,6,0
5,Vezel,0,0,6,4,19850000,0,1500,1,4,1
15,AD Wagon,3,0,6,4,2990000,187000,1490,27,6,0
12,GLB,3,0,4,4,27500000,35000,1500,6,4,1
22,Allion,3,0,5,4,8850000,12500,1500,19,10,0
5,CRV,2,0,4,4,28200000,7000,1500,3,4,1
1,740Le,3,0,5,4,39500000,18000,2000,9,4,1
1,X5 M,3,0,4,4,25500000,80000,2000,10,4,1
23,Golf,2,0,2,4,16490000,2000,1000,3,4,1
3,Taft,0,0,2,4,8250000,0,660,2,6,1
15,Sakura,2,0,2,1,7995000,5000,0,2,4,1
22,Axio,3,0,5,4,6950000,180000,1500,19,5,1
5,Vezel,0,0,6,2,19200000,0,1500,1,4,1
22,Yaris Ativ,0,0,5,4,16000000,0,1200,1,4,1
3,Taft,2,0,2,4,8395000,11000,660,1,4,1
0,Q3,2,0,4,4,31800000,5000,1500,3,4,1
1,320d,3,0,5,0,13250000,86000,2000,13,4,1
22,Prius,3,0,4,2,11000000,141000,1500,13,6,0
0,A3,2,0,5,4,18500000,8000,1000,3,4,1
22,Yaris,3,0,5,4,7150000,190000,1300,18,4,0
22,Hilux,3,0,4,0,11790000,158400,3000,18,6,1
12,Vito,2,0,3,0,24700000,200000,2200,9,4,1
1,318i,2,0,2,4,21000000,39000,1500,8,4,1
22,Hilux,0,0,4,0,30000000,0,2800,1,4,1
22,Land Cruiser Prado,3,1,4,0,16850000,195500,3000,19,6,1
20,Celerio,3,0,2,4,5550000,86900,1000,11,4,0
12,GLE 300D,3,0,4,0,48000000,98000,2000,6,4,0
15,Sakura,2,0,2,1,7995000,5000,0,2,4,1
6,Tucson,3,0,4,4,7200000,130000,2000,14,4,0
5,Vezel,0,0,4,4,19450000,230,1490,1,4,1
22,Premio,3,0,5,4,13800000,108000,1500,9,4,1
17,Axia,3,0,2,4,5785000,165000,1000,10,4,0
5,Vezel,0,0,6,2,20100000,0,1500,1,4,1
1,318i,3,0,5,4,23800000,39000,1500,8,4,1
20,Alto,3,1,2,4,3412000,171000,800,11,4,0
22,Raize,2,3,4,4,13495000,11000,1200,1,4,1
15,Magnite,0,0,2,4,8590000,0,1000,1,4,1
15,Leaf,3,0,2,1,8685000,23000,0,12,4,0
22,Vitz,3,0,4,4,5600000,157000,1000,14,4,0
5,Vezel,3,0,4,2,8850000,178000,1500,12,4,1
23,ID,3,0,4,1,28000000,21500,0,3,4,1
20,Wagon R Stingray,3,0,2,4,6950000,102000,660,8,4,0
15,X-Trail,2,0,4,2,25995000,19900,1490,2,4,1
7,Picanto,3,0,2,4,5185000,110000,1000,15,4,0
21,Nano,3,0,2,4,2900000,83500,624,10,4,0
8,Range Rover,3,0,4,4,75500000,52000,2000,7,4,1
1,X1,3,0,4,4,17500000,75000,1500,7,4,1
14,i-MiEV,3,0,5,1,3500000,90000,0,13,6,0
15,X-Trail,0,0,4,2,26995000,900,1490,2,4,1
6,Venue,1,0,4,4,11625000,0,1000,1,4,1
22,Premio,3,0,5,4,14900000,101223,1500,8,4,1
22,Vitz,3,0,2,4,5000000,171000,1000,19,5,1
22,Vitz,3,0,2,4,5350000,162000,1000,18,4,0
16,Nomad,3,1,2,4,3375000,123000,1499,15,4,1
20,Alto,3,1,2,4,2575000,119000,800,20,6,1
15,X-Trail,3,0,4,4,13200000,92000,2000,12,4,1
5,CRV,3,0,4,4,19250000,71000,1500,7,4,1
22,Premio,3,0,5,4,9250000,131000,1500,15,10,1
20,Alto,3,1,2,4,3750000,111000,800,11,6,1
20,Grand Vitara,3,0,4,4,8500000,147000,2000,13,4,0
22,Axio,3,0,5,2,9800000,120601,1490,11,4,1
15,X-Trail,3,0,4,2,11900000,168000,2000,11,8,1
22,Yaris,1,0,2,4,8490000,50000,1000,3,4,1
15,Magnite,0,0,2,4,8590000,0,1000,1,4,1
6,Venue,1,0,4,4,11625000,0,1000,1,4,1
22,Raize,0,0,2,4,13590000,0,1200,1,5,1
22,Taisor,0,0,2,4,11650000,0,1000,1,4,1
22,Premio,3,0,5,4,13400000,159700,1490,10,4,0
22,Raize,2,3,4,4,12800000,25590,1200,3,4,1
14,Pajero,3,1,4,4,4850000,243338,1630,27,4,1
14,Montero,3,0,4,0,13950000,195000,2500,14,8,1
6,Venue,1,0,4,4,11625000,0,1000,1,4,1
20,Wagon R FX,2,0,2,4,7150000,10000,660,2,12,1
20,Wagon R,2,0,2,4,7250000,11000,660,3,4,1
8,Range Rover Sport,2,0,4,4,46500000,80000,2000,8,4,1
22,Yaris,2,0,2,4,9995000,6000,1000,2,6,1
22,Raize,3,0,4,2,12950000,4800,1200,1,6,1
6,Venue,1,0,4,4,11625000,0,1000,1,4,1
1,523i,3,0,5,4,16900000,100000,2500,16,4,1
