,MAE (Rs),RMSE (Rs),R²,MAPE (%)
Train,2100225.75,4405335.117688097,0.9342065453529358,15.676168863426316
Validation,2536257.75,5694854.822769058,0.8816577792167664,21.27795839455661
Test,2809395.0,5718479.201868973,0.8997076153755188,16.641019870325596
